organ,code,busdate,outofstockrate,turnoverdays,new_storage
1016,014113240055,2022-05-09,0.0,15.873015873015873,0.1245
1016,014113240055,2022-05-10,0.0,22.98850574712644,0.189
1016,014113940092,2022-05-30,0.03571428571428571,3.4246575342465757,0.29
1016,014113940092,2022-05-31,0.03571428571428571,5.524861878453039,0.584
1016,014113940092,2022-06-01,0.03571428571428571,5.524861878453039,0.362
1016,014113940092,2022-06-02,0.03571428571428571,5.524861878453039,0.362
1016,014113940108,2022-04-16,0.0,19.138755980861244,0.186
1016,014113940108,2022-04-17,0.0,19.23076923076923,0.3135
1016,014113940108,2022-04-18,0.0,23.809523809523807,0.312
1016,014113940108,2022-04-19,0.0,23.391812865497073,0.252
1016,014113940207,2022-05-18,0.0,7.092198581560284,0.42299999999999993
1016,014113940207,2022-05-20,0.0,12.121212121212121,0.42150000000000004
1016,014113940207,2022-05-21,0.0,14.492753623188404,0.2475
1016,014113940207,2022-05-22,0.0,14.492753623188404,0.20700000000000002
1016,014113940207,2022-05-23,0.0,14.492753623188404,0.20700000000000002
1016,014113940207,2022-05-24,0.0,18.34862385321101,0.20700000000000002
1016,014113940207,2022-05-25,0.0,18.34862385321101,0.1635
1016,014113940207,2022-05-26,0.0,18.34862385321101,0.1635
1016,014113940207,2022-05-27,0.0,18.34862385321101,0.1635
1016,014113940207,2022-05-28,0.0,18.34862385321101,0.1635
1016,014113940207,2022-05-30,0.03571428571428571,18.34862385321101,0.1635
1016,014113940207,2022-05-31,0.03571428571428571,18.34862385321101,0.1635
1016,014113940207,2022-06-01,0.03571428571428571,18.34862385321101,0.1635
1016,014113940207,2022-06-02,0.03571428571428571,8.0,0.1635
1016,014113940207,2022-06-03,0.03571428571428571,8.0,0.1875
1016,061232200989,2022-06-10,0.03571428571428571,22.284122562674096,0.632
1016,061232200989,2022-06-13,0.03571428571428571,24.999999999999996,0.8400000000000001
1016,061232200989,2022-06-14,0.03571428571428571,24.999999999999996,0.729
1016,061232202556,2022-05-30,0.03571428571428571,22.22222222222222,0.45
1016,061232202556,2022-05-31,0.03571428571428571,14.492753623188404,0.45
1016,061232202556,2022-06-01,0.03571428571428571,14.705882352941176,0.552
1016,061232202556,2022-06-02,0.03571428571428571,9.646302250803858,0.544
1016,061232202556,2022-06-03,0.03571428571428571,9.77198697068404,0.622
1016,061232202556,2022-06-05,0.07142857142857142,3.3112582781456954,0.686
1016,061232202556,2022-06-06,0.07142857142857142,3.3112582781456954,0.604
1016,071570004309,2022-06-07,0.03571428571428571,16.129032258064516,0.073
1016,071570004309,2022-06-08,0.03571428571428571,16.39344262295082,0.093
1016,071570004309,2022-06-09,0.03571428571428571,16.666666666666668,0.0915
1016,071570004309,2022-06-10,0.03571428571428571,18.51851851851852,0.09
1016,071570004309,2022-06-11,0.03571428571428571,20.547945205479454,0.138
1016,071570004309,2022-06-12,0.03571428571428571,22.900763358778626,0.101
1016,077330012591,2022-04-16,0.0,17.241379310344826,0.21899999999999997
1016,077330012591,2022-04-17,0.0,20.51282051282051,0.34800000000000003
1016,077330012591,2022-04-18,0.0,20.618556701030926,0.2925
1016,077330170116,2022-04-16,0.0,16.166281755196305,0.5235
1016,077330170116,2022-04-17,0.0,12.82051282051282,0.6495
1016,077330170116,2022-04-18,0.0,13.215859030837004,0.7020000000000001
1016,077330170116,2022-04-19,0.0,14.598540145985403,0.681
1016,077330170116,2022-04-20,0.0,11.037527593818984,0.6164999999999999
1016,077330170116,2022-04-21,0.0,13.333333333333334,0.6795
1016,077330170116,2022-04-22,0.0,14.492753623188406,0.5625
1016,077330170116,2022-04-23,0.0,17.985611510791365,0.5175
1016,077330170116,2022-04-24,0.0,19.083969465648853,0.41700000000000004
1016,077330170116,2022-04-25,0.0,12.048192771084336,0.393
1016,077330170116,2022-04-26,0.0,12.048192771084336,0.498
1016,077330170116,2022-04-27,0.0,12.121212121212121,0.498
1016,077330170116,2022-04-28,0.0,12.121212121212121,0.495
1016,077330170116,2022-04-29,0.0,12.121212121212121,0.495
1016,077330170116,2022-04-30,0.0,12.461059190031152,0.495
1016,077330170116,2022-05-01,0.0,13.289036544850498,0.48150000000000004
1016,077330170116,2022-05-02,0.0,10.416666666666668,0.4515
1016,077330170116,2022-05-03,0.0,6.191950464396284,0.43199999999999994
1016,077330170116,2022-05-04,0.0,6.430868167202572,0.43199999999999994
1016,077330170116,2022-05-05,0.0,6.514657980456026,0.4665
1016,077330170116,2022-05-06,0.0,6.557377049180328,0.4605
1016,077330170116,2022-05-09,0.07142857142857142,3.236245954692557,0.528
